ID,County,Rural2020,Rural2020new,Rural2024,Rural2024new,CWPP2012,CWPP2014,CWPP2016,CWPP2018,CWPP2020,CWPP2022,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,Rep2012,Dem2012,Win2012,Rep2016,Dem2016,Win2016,Rep2020,Dem2020,Win2020,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022,TOrate_growth_2012_2020,TOrate_growth_2012_2016,TOrate_growth_2016_2020,Win2012new,Win2016new,Win2020new,Wing2016_2020,Percent_Urban,Percent_Rural,Percent_Hispanic,Percent_White,Percent_Black,Percent_Indian,Percent_Asian,Percent_Pacific,Percent_Multi,Percent_NotH_White,Percent_NotH_Black,Age17Under,Age65Older,Age85Older,Median_Age,Per_Capita_Income2022,Total_Personal_Income2022,Median_Household_Income2022,Percent_Poverty,Percent_Poverty_under18,Percent_Bachelor,People_Bachelor,Unemploy_Rate2019,Unemploy_Rate2020,Unemploy_Rate2021,Unemploy_Rate2022,Unemploy_Rate2023,OnSystem_Centerline,OffSystem_Centerline,ratio_Centerline,OnSystem_Lane,OffSystem_Lane,ratio_Lane,Consolidated,SpanishVR_primary_2012,SpanishVR_general_2012,SpanishVR_midterm_2014,SpanishVR_primary_2016,SpanishVR_general_2016,SpanishVR_midterm_2018,SpanishVR_primary_2020,SpanishVR_general_2020,SpanishVR_midterm_2022,spanpro_2012p,spanpro_2012g,spanpro_2014m,spanpro_2016p,spanpro_2016g,spanpro_2018m,spanpro_2020p,spanpro_2020g,spanpro_2022m
12,Bastrop,urban,0,Urban,0,0,0,0,0,0,1,74171,74171,74171,74171,74171,74171,74171,74171,38538,38767,42573,42491,45115,47022,48944,51948,55835,8071,24685,17076,15759,28888,27626,15607,36947,29363,0.2094,0.6368,0.4011,0.3709,0.6403,0.5875,0.3189,0.7112,0.5259,14033,9864,Republican,16328,10569,Republican,20516,15474,Republican,0.1637,0.34,0.1515,0.1026,0.27,0.1519,0.1045,0.3115,0.1874,0.1703,0.4967,0.279,0.9525,0.9337,-0.0096,0.6178,0.7195,0.0629,0.0744,0.0035,0.0709,1,1,1,0,0.28,0.72,0.434,0.8732,0.0703,0.0211,0.0103,0.0017,0.0234,0.4764,0.0608,0.2595,0.1564,0.013,36.8,44607,4736728000,73403,0.123,0.175,0.23,14887,0.031,0.06,0.045,0.034,0.034,332.13,1100.93,0.3017,816.63,2201.57,0.3709,0,5692,5818,6768,6929,7560,8215,8852,9505,10706,0.147698376,0.150076096,0.158973998,0.163069827,0.167571761,0.174705457,0.180859758,0.182971433,0.19174353
13,Baylor,rural,1,Rural,1,0,0,0,0,0,0,3726,3726,3726,3726,3726,3726,3726,3726,2489,2493,2510,2408,2433,2353,2325,2404,2380,299,1592,844,897,1513,1243,988,1703,1313,0.1201,0.6386,0.3363,0.3725,0.6219,0.5283,0.4249,0.7084,0.5517,1297,267,Republican,1267,191,Republican,1494,183,Republican,-0.0241,-0.0357,-0.0119,-0.0325,-0.0659,-0.0345,-0.0625,-0.0518,0.0115,-0.0496,0.0697,0.1256,2,2.3043,0.1014,0.4727,0.5557,0.0563,0.0698,-0.0167,0.0865,1,1,1,0,0,1,0.1535,0.9224,0.0326,0.0107,0.0032,0.0023,0.0289,0.7917,0.0251,0.2229,0.2368,0.0367,42.5,60988,211385000,49059,0.139,0.205,0.233,574,0.022,0.034,0.034,0.028,0.025,227.19,368.39,0.6167,530.44,736.77,0.72,0,185,187,186,184,187,176,170,185,178,0.074327039,0.075010028,0.074103586,0.07641196,0.076859844,0.07479813,0.07311828,0.076955075,0.074789916
14,Bee,rural,1,Rural,1,0,0,0,0,1,1,31861,31861,31861,31861,31861,31861,31861,31861,14081,14230,15126,15043,15713,15784,15657,15977,15757,2792,7961,5228,4530,8486,7299,2791,9419,6410,0.1983,0.5595,0.3456,0.3011,0.5401,0.4624,0.1783,0.5895,0.4068,4356,3452,Republican,4744,3444,Republican,6006,3288,Republican,0.1042,0.1228,0.0168,0.0683,0.1119,0.0408,0.0435,0.0417,-0.0017,0.0659,0.1831,0.1099,0.6225,-0.0004,-0.3839,0.3961,0.2261,-0.1218,0.03,-0.0194,0.0494,1,1,1,0,0.4583,0.5417,0.6019,0.876,0.0902,0.0099,0.0082,0.0014,0.0143,0.2967,0.0835,0.2014,0.1288,0.0137,35.8,34707,1054879000,48176,0.287,0.323,0.115,2483,0.044,0.099,0.085,0.059,0.051,291.83,535.32,0.5451,678.83,1070.65,0.634,0,7842,7948,8439,8376,8740,8919,8852,9013,8891,0.556920673,0.558538299,0.557913526,0.556803829,0.556227328,0.56506589,0.565370122,0.564123427,0.564257156
15,Bell,urban,0,Urban,0,0,0,0,0,1,1,310235,310235,310235,310235,310235,310235,310235,310235,152152,157309,168972,174722,186498,194853,202355,215966,228007,19346,86610,44137,42260,96148,86905,41229,128035,88292,0.1271,0.5506,0.2612,0.2419,0.5155,0.446,0.2037,0.5928,0.3872,49574,35512,Republican,51998,37801,Republican,67893,57014,Republican,0.1856,0.3729,0.158,0.1483,0.33,0.1582,0.1532,0.3494,0.1701,0.1101,0.4783,0.3316,1.1844,1.1311,-0.0244,0.969,1.0004,0.016,0.0422,-0.0351,0.0773,1,1,1,0,0.8631,0.1369,0.2681,0.6501,0.2476,0.0112,0.0324,0.0088,0.0498,0.4298,0.2232,0.2747,0.1216,0.0109,32.6,49416,19192659000,62412,0.142,0.195,0.268,60970,0.039,0.07,0.058,0.045,0.045,608.12,2504.07,0.2429,1652.49,5147.54,0.321,0,18858,19505,21425,22229,23796,25229,26699,28709,30926,0.123941848,0.123991634,0.126796156,0.127224963,0.127593862,0.129477093,0.13194139,0.132932962,0.135636187
16,Bexar,urban,0,Urban,0,0,0,0,0,1,1,1714773,1714773,1714773,1714773,1714773,1714773,1714773,1714773,869417,886078,958256,985895,1044741,1106388,1130471,1187942,1230627,107923,520288,304052,248562,598691,550669,254397,773800,543164,0.1241,0.5872,0.3173,0.2521,0.5731,0.4977,0.225,0.6514,0.4414,241617,264856,Democrat,240333,319550,Democrat,308618,448452,Democrat,0.1791,0.3407,0.1371,0.134,0.3003,0.1466,0.1546,0.2842,0.1123,0.1507,0.4873,0.2925,1.3031,1.3572,0.0235,0.8111,0.7864,-0.0136,0.0642,-0.0141,0.0783,2,2,2,0,0.9529,0.0471,0.6128,0.8325,0.0907,0.0129,0.0348,0.0024,0.0266,0.2585,0.077,0.2446,0.1309,0.0124,35,52583,1.08E+11,65839,0.156,0.215,0.304,394997,0.032,0.076,0.053,0.038,0.037,1035.66,6779.38,0.1528,3520.4,14520.04,0.2425,0,383306,390407,427418,439901,464899,487723,502264,526151,550009,0.440877047,0.440601166,0.446037385,0.446194574,0.444989715,0.440824557,0.444296227,0.442909671,0.446933961
17,Blanco,rural,1,Rural,1,0,0,0,0,0,0,10497,10497,10497,10497,10497,10497,10497,10497,6944,7017,7388,7666,8038,8428,8774,9329,10155,1995,4972,3611,3525,5816,5822,3365,7477,6792,0.2873,0.7086,0.4888,0.4598,0.7236,0.6908,0.3835,0.8015,0.6688,3638,1220,Republican,4212,1244,Republican,5443,1911,Republican,0.1455,0.3295,0.1606,0.104,0.2635,0.1445,0.1408,0.3745,0.2049,0.1698,0.5038,0.2856,0.7669,0.6867,-0.0454,0.6123,0.8809,0.1666,0.0929,0.015,0.0779,1,1,1,0,0,1,0.1973,0.938,0.017,0.0143,0.0101,0.0007,0.02,0.7594,0.0121,0.1649,0.272,0.021,51.4,74566,925961000,82236,0.084,0.133,0.306,2710,0.024,0.039,0.034,0.028,0.028,184.14,259.99,0.7083,464.04,519.97,0.8924,0,636,645,650,667,700,746,772,827,888,0.091589862,0.091919624,0.087980509,0.087007566,0.08708634,0.088514476,0.087987235,0.088648301,0.087444609
18,Borden,rural,1,Rural,1,0,0,0,0,0,0,641,641,641,641,641,641,641,641,418,422,440,451,463,486,484,499,463,169,364,263,315,371,347,251,417,325,0.4043,0.8626,0.5977,0.6984,0.8013,0.714,0.5186,0.8357,0.7019,324,32,Republican,330,31,Republican,397,16,Republican,0.0972,0.1825,0.0778,0.0789,0.1579,0.0732,0.1045,0.0523,-0.0473,0.0192,0.1456,0.124,0.8639,0.4852,-0.2032,0.3194,0.2357,-0.0634,-0.0269,-0.0613,0.0344,1,1,1,0,0,1,0.2256,0.9436,0.0103,0.0085,0.0017,0,0.0359,0.7402,0.0103,0.2045,0.2483,0.0507,50,115928,67818000,75186,0.115,0.175,0.394,173,0.025,0.034,0.022,0.019,0.018,171.92,225,0.7641,343.84,449.99,0.7641,0,29,28,35,40,38,35,32,32,34,0.06937799,0.066350711,0.079545455,0.088691796,0.082073434,0.072016461,0.066115702,0.064128257,0.073434125
19,Bosque,rural,1,Rural,1,0,0,0,0,0,0,18212,18212,18212,18212,18212,18212,18212,18212,11673,11733,11828,11642,12000,12128,12187,12722,13088,2689,7348,4949,4815,7906,7244,4581,9188,7490,0.2304,0.6263,0.4184,0.4136,0.6588,0.5973,0.3759,0.7222,0.5723,5885,1367,Republican,6339,1278,Republican,7469,1561,Republican,0.0228,0.0843,0.0602,-0.0027,0.044,0.0468,0.0254,0.1065,0.0792,0.0759,0.2504,0.1622,0.7906,0.7036,-0.0486,0.4637,0.5134,0.034,0.0959,0.0325,0.0634,1,1,1,0,0,1,0.2036,0.9367,0.0252,0.011,0.008,0.0011,0.0179,0.7504,0.0194,0.207,0.2562,0.027,46.4,52462,980882000,61048,0.124,0.189,0.19,2519,0.034,0.055,0.046,0.037,0.035,346.05,767.15,0.4511,697.21,1534.3,0.4544,0,812,814,859,874,907,981,1013,1060,1168,0.069562238,0.069376971,0.072624281,0.075073012,0.075583333,0.080887203,0.083121359,0.083320233,0.089242054
20,Bowie,urban,0,Urban,0,0,0,0,0,0,0,92565,92565,92565,92565,92565,92565,92565,92565,54757,55520,57249,57210,59076,59412,59364,61313,60974,9644,35362,21522,19604,34587,28485,16691,38309,26691,0.1761,0.6369,0.3759,0.3427,0.5855,0.4794,0.2812,0.6248,0.4377,24869,10196,Republican,24924,8838,Republican,27116,10747,Republican,0.064,0.1043,0.0379,0.0448,0.0841,0.0377,0.0378,0.0651,0.0263,-0.0219,0.0833,0.1076,1.0328,0.7307,-0.1486,0.3235,0.2402,-0.063,-0.0121,-0.0514,0.0393,1,1,1,0,0.6206,0.3794,0.0856,0.6884,0.2589,0.0113,0.0132,0.0011,0.0271,0.6171,0.2537,0.2372,0.1769,0.018,38.4,50089,4609963000,52460,0.188,0.257,0.223,13951,0.044,0.074,0.059,0.047,0.042,494.56,1196.26,0.4134,1201.24,2422.02,0.496,0,951,988,1096,1156,1240,1315,1392,1473,1590,0.017367642,0.017795389,0.019144439,0.020206258,0.020989911,0.022133576,0.023448555,0.024024269,0.026076688
21,Brazoria,urban,0,Urban,0,0,0,1,1,1,1,313166,313166,313166,313166,313166,313166,313166,313166,169846,173282,183697,187424,196645,206219,213503,223674,235132,26224,106776,62313,52189,121190,111788,57629,154984,110000,0.1544,0.6162,0.3392,0.2785,0.6163,0.5421,0.2699,0.6929,0.4678,70862,34421,Republican,72791,43200,Republican,90433,62228,Republican,0.1348,0.2908,0.1375,0.1035,0.257,0.1391,0.1226,0.28,0.1402,0.135,0.4515,0.2789,0.9901,1.1976,0.1042,0.794,0.7653,-0.016,0.0767,0.0001,0.0766,1,1,1,0,0.774,0.226,0.325,0.7232,0.1688,0.0091,0.0752,0.0012,0.0225,0.4209,0.1598,0.2545,0.1305,0.0112,36.9,57644,22376306000,86197,0.101,0.126,0.314,77028,0.042,0.086,0.068,0.046,0.044,498.85,2453.47,0.2033,1428.44,4997.75,0.2858,0,27583,28308,31391,32571,34634,37768,39971,42203,45920,0.162400057,0.163363765,0.170884663,0.17378244,0.176124488,0.183145103,0.187215168,0.188680848,0.195294558
22,Brazos,urban,0,Urban,0,0,0,1,1,1,1,194851,194851,194851,194851,194851,194851,194851,194851,85854,85669,93172,96279,106769,113131,116851,121439,126114,14427,55678,31799,32668,68443,64877,31714,85067,59996,0.168,0.6499,0.3413,0.3393,0.641,0.5735,0.2714,0.7005,0.4757,37209,17477,Republican,38738,23121,Republican,47530,35349,Republican,0.2463,0.4175,0.1374,0.1214,0.361,0.2137,0.2142,0.3536,0.1148,0.2293,0.5278,0.2429,1.2644,1.1982,-0.0292,1.0402,0.8867,-0.0752,0.0506,-0.0089,0.0595,1,1,1,0,0.8815,0.1185,0.2678,0.7966,0.1136,0.0073,0.0585,0.0013,0.0227,0.5479,0.1071,0.2022,0.1063,0.0105,27.1,47576,11514089000,60355,0.222,0.174,0.432,53191,0.027,0.053,0.041,0.031,0.031,342.46,1161.52,0.2948,978.93,2368.67,0.4133,1,10016,10123,11539,12384,14381,16152,17074,17686,18513,0.116663172,0.118164097,0.12384622,0.12862618,0.134692654,0.142772538,0.146117705,0.145636904,0.146795756
23,Brewster,rural,1,Rural,1,0,0,0,0,0,0,9232,9232,9232,9232,9232,9232,9232,9232,6447,6513,7029,6998,7364,7213,7212,7515,7509,2233,3908,2949,2892,4295,4086,2303,4822,3808,0.3464,0.6,0.4195,0.4133,0.5832,0.5665,0.3193,0.6417,0.5071,1976,1765,Republican,2077,1873,Republican,2461,2258,Republican,0.1307,0.1538,0.0205,0.0855,0.1187,0.0306,0.0262,0.0683,0.041,0.099,0.2339,0.1227,0.2951,0.0313,-0.2037,0.3856,0.2913,-0.068,0.0417,-0.0168,0.0585,1,1,1,0,0.6582,0.3418,0.4548,0.8631,0.02,0.0235,0.0254,0.0024,0.0656,0.4625,0.014,0.1689,0.2409,0.0232,43.5,58166,543443000,52388,0.14,0.214,0.477,3410,0.029,0.066,0.046,0.035,0.032,288.73,552.44,0.5226,605.78,1104.88,0.5483,0,2004,2031,2211,2172,2266,2230,2209,2287,2256,0.310842252,0.311837863,0.314553991,0.310374393,0.307713199,0.309164009,0.306295064,0.304324684,0.300439473
